num	name	element	str3	utc	tc	journal
154710	(Nb,Si)(N,O)	Nb0.9Mg0.1N0.87O0.13	NaCl	K	5.0	J.Solid State Chem., 184(2011)2061
100136	Al0.6Mg0.4	Al0.6Mg0.4		K	1.7	PHYS.STAT.SOL.,60(1973)157
103550		V2.814Nb0.186Ga1		K	13.5	PRENUM PRESS 1973
140003	Ag1-xAlx	Ag0.625Al0.375		K	0.106	PHYS.REV.B,1(1970)3002
50082	ZrxRey	Re10Zr90	AMOR	K	4.12	Phys.Rev.B, 27(1983)1596
151164	GdBa2(Cu,Mn)3Oz	Gd1Ba2Cu2.94Mn0.06Oz	Y123	K	71.08	J.Phys. Condens.Matter, 18(2006)2955
9325	(Y,Pr)Ba2Cu3Oz	Y0.5Pr0.5Ba2Cu3O6.66	Y123	K	3.5	J.Phys.Soc. Jpn, 69(2000)170-177
1730	GdBa2(Cu,Ni)3O7	Gd1Ba2Cu2.85Ni0.15OZ	Y123	K	71.0	PHYS.REV.B,42(1990)2554
111983	(Mo,Fe)Ga4	Mo0.94Fe0.06Ga4		K	2.6	HELVETIA PHYS.ACTA,45(1972)331
112898	(Nb,Ti)3Sn	Nb2.7Ti0.3Sn1	Cr3Si(A15)	K	16.4	Z.PHYS.,189(1966)401
3993		La1.9Sr0.1Cu0.97Ni0.03O4		K	3.65	SOLID STATE COMMUN.,72(1989)529
349		Y1.2Ba0.8Cu1O4		K	75.0	Phys.Rev.B,36(1987)3910
101980	Nb0.04Zr0.96	Nb0.04Zr0.96		K	4.9	FIZ.METAL.METALLOVED.,23(1967)871
12314	YBa2Cu3O7	Y1Ba2Cu3O7-y	Y123	K	93.4	Phys.Rev.53,(1996)15245
154761	Pr2Ba4Cu7O15-z	Pr2Ba4Cu7O14.44	Y247	K	20.75	J.Phys.Soc.Jpn, 82(2013)074706
1513	Tl2Ba2CuO6	Tl2Ba2Cu1O5.947	Tl2201	K	50.0	PHYS.REV.B,40(1989)11400
5778	(Y,Ca)(Sr,Ba)Cu2 Ga O7	Y0.6Ca0.4Sr1.8Ba0.2Cu2Ga1O7-z	Y123	K	45.0	J.Supercomductivity.,8(1995)21-25
100774	C3La2	C3La2	Pu2C3	K	11.0	Sup. in d- & f-band metals, p=147
157936	(Ca4Al2O6)Fe2(As1-xPx)2	Ca4Al2Fe2As0.5P1.5O6	Fe-42622	K	0.0	Phys.Rev.B, 87(2013)121101
4487	(Gd,Pr,Ce)2CuO4	Gd0.07Pr1.78Ce0.15Cu1O4		K	17.4	SOLID STATE COMMUN.,84(1992)721
151804	La(O,F)FeAs	La1Fe1As1F0.11O0.89	oxypnictide	K	28.6	Phys.Rev.B, 81(2010)054507
100111	Al1Ge1Nb3	Al1Ge1Nb3	Cr3Si(A15)	K	19.5	PHYS.REV.LETT.,33(1974)169
151049	SrFe2As2	Sr1Fe2As2	ThCr2Si2	K	27.0	cond-mat/0807.4283(2008)
131466	V3Ga	Ga28.1V71.9	Cr3Si(A15)	K	12.2	Solid State Commun., 39(1981)773
152791	(K,Tl)xFe2Se2	Tl0.45K0.34Fe1.84Se2		K	28.0	Phys.Rev.B, 83(2011)140508
155251	Nb3Ga	Ga1Nb3	A15	K	16.5	Physica B, 459(2015)21
111428	W	W1		K	0.016	Phys.Rev.Lett., 16(1966)101
40997	(Cu,V)Sr2Ca2Cu3Oz	Cu3.5V0.5Sr2Ca1Oz	M1223	K	98.0	Chem.Mater., 11(1999)2185
101937	Nb0.33Ti0.67	Nb0.33Ti0.67		K	9.3	Z.METALLKDE.,55(1964)711
6357	TlSr2CaCu2O7	Tl1Sr2Ca1Cu2O7-z	Tl1212	K	51.8	Physica C,253(1995)71-78
50037	TixNbySiz	Ti55Nb30Si15	AMOR	K	4.9	J.Appl.Phys., 51(1980)5475
6099	(Bi,Mo,Cu)Sr2YCu2O7	Bi0.148Mo0.182Cu0.67Sr2Y1Cu2Oz	Cu1212	K	30.1	Physica.C,255(1995)151-156
154855	Ce(O,H)FeAs	Ce1Fe1As1H0.065O0.935	oxypnictide	K	41.1	Nature Commun., 3(2012)943
152160	Ba(Fe,Ru)2As2	Ba1Fe1.5Ru0.5As2	ThCr2Si2	K	0.0	Phys.Rev.B, 81(2010)174512
5102	(Nd,Ce)2CuO4	Nd1.85Ce0.15Cu1O4	T'	K	22.0	Phys.Rev.Lett.70(1993)85
111778	C8KHg	C8K1Hg1		K	1.88	Solid State Commun., 44(1982)1-6
33289	(Hg,Pb)2Ba2(Y,Ca)Cu2O8	Hg1.5Pb0.5Ba2Ca1Cu2O8-z	Hg2212	K	43.0	Physica C, 341(2000)677
7589	Bi2Sr2CaCu2Oz	Bi2Sr2Ca1Cu2O8.27	Bi2212	K	84.0	Phys. Rev. Lett., 79(1997)2113
33701	Cd2Re2O7	Cd2Re2O7	pyrochlore	K	1.0	Phys.Rev.Lett., 89(2002)147002
6244	GdBa2Cu3HxO7	Gd1Ba2Cu3O6.89	Y123	K	92.9	Jpn.J.Appl.Phys.Lett.27(1988)L252-L258
12342	EuBa2(Cu,Zn)3O7	Eu1Ba2Cu2.94Zn0.06O7-y	Y123	K	65.9	Phys.Rev.53,(1996)15245
6059	(Y,Pr)(Ba,Sr)2Cu3O7	Y0.4Pr0.6Ba1Sr1Cu3O8.9	Y123	K	24.1	Phys.Lett.A,196(1994)263-266
156582	Zr2Co1-xNix	Zr2Co0.6Ni0.4		K	4.2	Physica B, 284-288(2000)475
3387		Bi4Sr3.5Ca2.5Cu4O16-Y	Bi2212	K	80.0	Jpn.J.Appl.Phys.Lett.31(1992)L471-473
8873	YBa2Cu3Oz	Y1Ba2Cu3O6.52	Y123	K	55.0	Phys.Rev.B,45(1992)10071
108026	Nb3Al	Al1Nb3	Cr3Si(A15)	K	18.7	Phys.Rev.B, 24(1981)3794
102822	W2C1	C1W2		K	2.74	PRENUM PRESS 1973
131289	(Mo,Nb,Pd)	Mo0.1Nb0.765Pd0.135		K	1.53	J.Less-Common Met., 42(1975)19
4016	(La,Sr)2(Cu,Ni)O4	La1.85Sr0.15Cu0.99Ni0.01O4	T	K	30.1	SOLID STATE COMMUN.,72(1989)529
8754	(Y,Ca)(Ba,Nd)2Cu3O7	Y0.9Ca0.1Ba1.8Nd0.2Cu3OZ	Y123	K	84.6	Physica C,313(1999)49-57
33061	(K,Bi)BiO3	K0.85Bi1.15O3	BKBO	K	7.4	Physica C, 356(2001)12
9501	NdBa2Cu3O7	Nd1Ba2Cu3O7-Z	Y123	K	85.0	Phys.Rev.Lett., 85(2000)1116-1119
8706	(Cu,C)Ca2CaCu2Oz	Cu0.25C0.75Ca3Cu2O6.85	C1212	K	47.0	Physica C,288(1997)185-189
155121	(Pr,Ce)CuO4	Pr1.86Ce0.14Cu1O4	T'	K	17.7	Phys.Rev.B, 90(2014)024519
10340	(Bi,Pb)2Sr2Ca2Cu3(O,F)10	Bi1.7Pb0.3Sr2Ca2Cu3O10	Bi2223	K	106.5	Phys.Rev.B,50(1994)3209
33722	Bi2Sr2Ca(Cu,Mn)2O8	Bi2Sr2Ca1Cu1.7Mn0.3O8+z	Bi2212	K	40.0	Physica C, 383(2002)122-126
157167	AgSnSe2	Ag1Sn1Se2	NaCl	K	4.7	J.Phys.Soc.Jpn, 86(2017)054711
40781	KHgC8	K1Hg1C8	GIC	K	1.9	J.Phys.Soc.Jpn, 50(1981)1964
5380	YBa2Cu3O7	Y1Ba2Cu3O6.92	Y123	K	92.4	Physica C.,234(1994) 269-279
9052	Ba(Ca,Cd)LaCu3Oz	Ba1Ca0.75Cd0.25La1Cu3OZ	1113	K	60.6	PHYSICA C,216(1993)124
151228	Pd2(Hf,Y)Al	Pd2Hf0.75Y0.25Al1	Heusler	K	3.2	Phys.Rev.B, 79(2009)064508
158385	Cr1-xRux	Cr0.75Ru0.25		K	2.4	Phys.Rev.B, 34(1986)3446
17026	(La,Ba,Ca)3Cu3O6	La1.1Ba1.5Ca0.4Cu3O7.06	336	K	79.0	Phys.Rev.B,55(1997)15228
100735	C3Er1Th1	C3Er1Th1	Pu2C3	K	4.6	J.LESS-COMMON METALS,30(1973)217
32419	Bi2Sr2CaCu2Oz	Bi2Sr2Ca1Cu2O8.26	Bi2212	K	90.0	Phys.Rev.Lett.,84(2000)5848-5851
30615	YBa2(Cu,Ni)3O7-z	Y1Ba2Cu2.98Ni0.02O6.94	Y123	K	86.0	Phys.Rev.B,61(2000)4314-4318
110340	Mo6(Se,Te)8	Mo6Se7.5Te0.5	Chevrel	K	6.69	Phd thesis, University of Geneva, 1980
154916	(Sn,Pb)1-xInxTe	Sn0.5277Pb0.3523In0.12Te1		K	3.58	Phys.Solid State, 43(2001)1845
18907	CuBa2(Ca,Mg)3Cu4O12-z	Ba2Ca2.01Mg0.99Cu5O12-z	Cu1234	K	116.6	Phys.Rev.B, 58(1998)9504
20079	(La,Sr)(Cu,Co)O4	La1.85Sr0.15Cu0.99Co0.01O4+z	T	K	24.86	Physica C, 272(1996)257
158793	Bi1.5Sb0.5Te2Se	Bi1.5Sb0.5Te2Se1		K	5.28	Phys.Rev.B, 100(2019)094525
150381	CaC6	C6Ca1	GIC	K	11.6	Phys.Rev.Lett., 98(2007)067002
102820	Nb1N1	N1Nb1		K	15.6	PRENUM PRESS 1973
120018	HfRuAs	Hf1Ru1As1	ZrNiAl	K	4.93	Mater.Res.Bull., 18(1983)983
154117	(Ba,K)Fe2As2	Ba0.1K0.9Fe2As2	ThCr2Si2	K	7.0	Phys.Rev.B, 85(2012)184507
1110	Sm(Ba,Sm)2Cu3O7	Sm1.2Ba1.8Cu3O6.965	Y123	K	47.0	JJAP LETT.,28(1989)L31
16004	Hg0.90Ba2CuO4	Hg0.9Ba2Cu1O4+y	Hg1201	K	96.0	Phys.Rev.B,55(1997)12776
109688	Rb3C60	C60Rb3	fullerene	K	28.0	Jpn.J.Appl.Phys.Lett.31(1992)L166-L168
156506	CaRbFe4As4	Ca1Rb1Fe4As4	CaRb1144	K	35.0	J.Am.Chem.Soc., 138(2016)3410
302	YBa2(Cu,Fe)3O7	Y1Ba2Cu2.8Fe0.2O6.93	Y123	K	49.0	PHYS.REV.B,37(1988)7458
158815	KCa2Fe4As4F2	K1Ca2Fe4As4F2		K	33.0	Phys.Rev.B, 100(2019)144505
5138	Tl2Ba2CuO6	Tl2Ba2Cu1O6	Tl2201	K	86.0	PHYS.REV.B,47(1993)8324
7143	CuSr2TmCu2Oz	Sr2Tm1Cu3O7.48	Cu1212	K	62.0	J.Appl.Phys.Lett.35(1996)L12
103977		Ge1.62Y1		K	2.4	PRENUM PRESS 1973
157630	LixMyTiSe2	Li0.15M1Ti1Se2		K	2.7	J.Phys.Soc.Jpn, 86(2017)104701
32337	(La,Sr,Ca,Ba)2CuOz	La1.85Sr0.016Ca0.074Ba0.06Cu1O4.01	T	K	25.4	Phys.Rev.Lett.,83(1999)3289-3292
104326		Bi0.56Pb0.44		K	8.8	PRENUM PRESS 1973
2032	(La,Sr)2CuO4	La1.8Sr0.2Cu1O4	T	K	39.0	JJAP.LETT.,26(1987)L443
4023	(La,Sr)2(Cu,Ni)O4	La1.78Sr0.22Cu0.97Ni0.03O4	T	K	14.0	SOLID STATE COMMUN.,72(1989)529
33356	HgBa2(Cu,Zn)Oz	Hg1Ba2Cu0.97Zn0.03O4.081	Hg1201	K	83.0	Phys.Rev.B, 65(2002)104505
43035	(M)TaS2	M1Ta1S2	TX2	K	2.9	Science, 174(1971)493
33967	Tl2Ba2(Ca,Y)(Cu,Co)2O8	Tl2Ba2Ca0.85Y0.15Cu1.88Co0.12O8+z	Tl2212	K	61.6	Physica C, 390(2003)120
106179	YNi2B2C	Y1Ni2B2C1	LuNi2B2C	K	15.4	Physica.C,266(1996)27-32
111099	(Er,Y)Pd2Sn	Er0.8Y0.2Pd2Sn1	Heusler	K	2.08	Phys.Rev.B, 34(1986)199
140045	SnxTe	Sn0.99Te1		K	0.0285	PHYS.REV.,169(1968)388
4333	(Y,Ca)Sr2Cu2(CO3)OZ	Y0.475Ca0.475Sr2.05Cu2.4C0.6OZ	Y123	K	63.0	PHYSICA C,201(1992)320
151825	2H-NbSe2	Nb1Se2	2H-NbSe2	K	7.4	Physica B, 405(2010)955
10355	Tl(Ba,Sr)LaCuO5+d	Tl1Ba0.3Sr0.7La1Cu1O5.11	Tl1201	K	25.0	Phys.Rev.B,52(1995)4427
32002	YBa2(Cu,Zn)3Oz	Y1Ba2Cu2.97Zn0.03O6.63	Y123	K	45.0	Phys.Rev.Lett.,76(1996)1074
40802	KHgC8	K1Hg1C8	GIC	K	1.85	Solid State Commun., 44(1982)1150
158161	CrAs	As1Cr1	MnP	K	1.85	Phys.Rev.B, 98(2018)024520
106161	Y(Ni,Cu)2B2C	Y1Ni1.6Cu0.4B2C1	LuNi2B2C	K	10.6	Physica C.,246(1995)317-322
150693	YRh2Si2	Y1Rh2Si2	ThCr2Si2	K	3.1	J.Phys.Chem.Solids, 45(1984)419
150366	BaPt4Ge12	Ba1Pt4Ge12	skutterudite	K	5.0	Phys.Rev.Lett., 100(2008)017002
153853	Fe1.03Te1-xSex	Fe1.03Te0.72Se0.28	Fe-11	K	13.9	Physica C, 489(2013)32
5568	La(Ba,Sr)2Cu3O7	La1.5Ba1Sr0.5Cu3O6.955	Y123	K	26.9	Physica C.,241(1995)191-197
103471	Bi3Fe1	Bi3Fe1		K	1.0	PRENUM PRESS 1973
11319	YBa2Cu3O7-d	Y1Ba2Cu3O6.93		K	93.2	Phys.Rev.B,51(1995)12053
30530	(La,Sr)2CuO4	La1.9Sr0.1Cu1O4	T	K	23.0	Phys.Rev.B,61(2000)107-110
151519	SrFe2As2	Sr1Fe2As2	ThCr2Si2	K	21.0	Phys.Rev.Lett., 103(2009)037005
5659	Bi2 Sr2 Ca Cu2 O8	Bi2Sr2Ca1Cu2O8	Bi2212	K	86.1	Physica C.,249(1995)139-143
33267	(Sm,Ce)2CuO4	Sm1.85Ce0.15Cu1O4-z	T'	K	20.0	Physica C, 341(2000)675
10939	YBa2Cu3O7	Y1Ba2Cu3O7-d	Y123	K	92.0	Phys.Rev.B,51(1995)3316
131477	V3Ga	Ga0.3V0.7	Cr3Si(A15)	K	14.1	J.Less-Common Metals, 96(1984)191
33391	(La,Sr)2(Cu,Zn)O4	La1.8Sr0.2Cu0.9883Zn0.0117O4	T	K	23.6	Physica C, 357-360(2001)25
33748	(Ba,K)BiO3	Ba0.665K0.335Bi1O2.985	BKBO	K	27.3	J.Phys.Chem.Solids, 60(1999)1933
150627	BaNi2P2	Ba1Ni2P2	ThCr2Si2	K	3.0	Solid State Commun., 147(2008)111
109019		Nb0.75Al0.19Ge0.06	Cr3Si(A15)	K	20.0	Phys.Status Solidi (b), 77(1976)K129
111541	Ba8Si46	Ba8Si46	clathrate	K	8.07	Nature Mat.Lett., 2(2003)653
150995	(La,Sr)2(Cu,Co)O4	La1.85Sr0.15Cu0.9925Co0.0075O4	T	K	30.6	Physica B, 194-196(1994)1433
33332	LixRbCa2Nb3O10	Li0.34Rb1Ca2Nb3O10		K	3.54	Physica C, 357(2001)393
19536	(La,Pr,Sr)2CuO4	La1.13Pr0.72Sr0.15Cu1O4	T	K	32.0	Phys.Rev.B,59(1999)6557
4696	(Bi,Pb)2Sr2(Y,Ce)2Cu2O10	Bi1.2Pb0.8Sr2Y1.65Ce0.35Cu2O10+z	Bi2222	K	27.0	Physca C, 220(1994)265-270
10232	TlSr2(Lu,Ca)Cu2Oy	Tl0.99Sr2.03Lu0.57Ca0.36Cu2.05Oy		K	62.0	Phys.Rev.B, 50(1994)1244
570	(Y,Lu)Ba2Cu3O7	Y0.125Lu0.875Ba2Cu3OX	Y123	K	87.9	JJAP LETT.,27(1988)L1425
158963	FeSe0.96S0.04	Fe1Se0.96S0.04	tetragonal	K	9.6	Proc. Natl. Acad. Sci. USA 113(2016)8139
150058	Al1-xLix	Al0.97Li0.03		K	1.05	Solid State Commun., 142(2007)421
154879	(Ce,Nd)(O,F)BiS2	Ce0.4Nd0.6F0.5Bi1S2O0.5		K	3.94	Physca C, 504(2014)33
113033	Pd1-xSbx	Pd0.49Sb0.51		K	1.44	PHYS.REV.,169(1968)457
8832	(Nd,Ce)2CuO4	Nd1.83Ce0.17Cu1O4-Z	T'	K	12.0	Zhurnal experimental'noi I teoreticheskoi fiziki (J.Exp. Th. Ph.) 116(1999)1723
40129	(Cu,Tl)Ba2(Ca,Pr)2Cu3O10	Cu0.5Tl0.5Ba2Ca1.9Pr0.1Cu3O10-z	M1223	K	110.5	Physica C, 425(2005)90
2079	YBa2Cu3O7	Y1Ba2Cu3O7-Z		K	92.0	PHYS.REV.B,40(1989)9389
3830	(Y,Sc)Ba2Cu3O7	Y1Ba2Cu3O7-Z	Y123	K	90.0	SOLID STATE COMMUN.,68(1988)239
6890	(Sr,Ca)14Cu24O41	Sr0.4Ca13.6Cu24O41.84	LAD	K	10.0	J.Phys.Soc.Japan,65(1996)2764-2767
20028	Bi4Sr3Ca3(Cu,Fe)4Oz	Bi4Sr3Ca3Cu3.6Fe0.4Oz		K	70.0	Fizika nizkikh temperatur; 21(1995)265
1759		Y1Ba2Cu3.85O6.85	Y123	K	93.0	PHYS.REV.LETT.,58(1987)2249
150543	(Bi,La)2SrCu2Oz	Bi0.5La1.5Sr1Cu2O6.02	Bi0212	K	28.0	Physica C,251(1995)238-246
4856	(La,Sr)2CuO4	La1.85Sr0.15Cu1O4	T	K	37.0	Physica C, 227(1994)160-168
103569		Nb2.01V0.99Au1		K	2.9	PRENUM PRESS 1973
2175	HoBa2Cu3O7	Ho1Ba2Cu3O7	Y123	K	91.3	PHYS.REV.B,37(1988)2285
109372	SnNbSe3	Sn1Nb1Se3		K	3.02	Physics Lett. 40A(1972)353
7668	(Bi,V)2Sr2Ca2Cu3O10	Bi1.2V0.8Sr2Ca2Cu3O10+z	Bi2223	K	30.0	J.Phys.:Cond.Matter 9(1997)1105-1121
102326	Th2Zn1	Th2Zn1	CuAl2	K	0.67	J.LESS-COMMON METALS,27(1972)281
109209	Nb0.8(Ga,Cr)0.2	Nb0.8Ga0.19Cr0.01	Cr3Si(A15)	K	13.6	Physica Stat.Solidi A,63(1981)693
111367	Y(Ni,Pd)2B2C	Y1Ni1.82Pd0.18B2C1	LuNi2B2C	K	11.8	Materials Lett., 57(2002)59
40173	NaxCoO2/1.3H2O	Na0.32Co1H2.6O3.3		K	3.6	J.Phys.Condens.Matter, 18(2006)L63
8818	La2CuO4	La2Cu1O4+Z	T	K	33.0	Phys.Rev.B,56(1992)R14275
158622	ZrP2-xSex	Zr1P1.4Se0.6	PBFCl	K	6.28	Supercond.Sci.Technol., 29(2016)055004
7493	YBa2Cu3O7	Y1Ba2Cu3O6.72	Y123	K	80.7	PHYS.REV.LETT.69(1992)680
8769	(Y,Ca)(Ba,Nd)2Cu3O7	Y0.8Ca0.2Ba1.5Nd0.5Cu3OZ	Y123	K	32.0	Physica C,313(1999)79-86
130111	Dy1.2Mo6S8	Dy1.2Mo6S8	Chevrel	K	1.72	Solid State Commun., 24(1977)747
9601	(Hg,Re)Ba2CuO4	Hg0.85Re0.15Ba2Cu1O4.58	Hg1201	K	35.0	Phys.Rev.B,63(2001)014508
33467	(La,Ca,Pr)(Ba,Sr)2Cu3O7	La0.6Ca0.1Pr0.3Ba1.5Sr0.5Cu3O6.872	Y123	K	26.0	Physica C, 364-365(2001)575
42071	CaC6	C6Ca1	GIC	K	11.62	Phys.Rev.B, 75(2007)014509
90351	(La,Ce)3In	La2.9579Ce0.0421In1		K	7.11	Phys.Rev.Lett., 23(1969)118
108034	(Nb,Zr)3Al	Nb2.97Zr0.03Al1	Cr3Si(A15)	K	17.4	J.Low Temp.Phys., 56(1984)51
6157	HgSr2CuOz	Hg1Sr2Cu1Oz	Hg1201	K	62.4	Physica C, 224(1994)1-5
154531	Sm4Fe2As2Tex(O,F)4	Sm4Fe2As2Te0.72F1.2O2.8		K	40.0	Phys.Rev.B, 89(2014)024518
157672	La(O,F)BiSe2	La1F0.5Bi1Se2O0.5	CeOBiS2	K	3.95	Phys.Rev.B,  96(2017)214506
150709	Gd(O,F)FeAs	Gd1Fe1As1F0.2O0.8	oxypnictide	K	48.35	Supercond.Sci.Technol., 21(2008)082001
43075	(M)0.165TaS2	M0.165Ta1S2	TX2	K	1.95	J.Chem.Phys., 55(1971)3525
157289	Cu0.3ZrTe2	Cu0.3Zr1Te2	CdI2	K	10.0	Phys.Rev.B, 95(2017)144505
33227	Bi2Ca3Cu4O8(O,F)2	Ba2Ca3Cu4F1O8.2+z	234	K	104.0	Physica C, 366(2001)43
6953	(Ca,Na)2CuO2Cl2	Ca1.84Na0.16Cu1Cl2O2	T	K	19.7	Physica.C,266(1996)191-202
150043	YBa2Cu3O7	Y1Ba2Cu3O7-z	Y123	K	87.2	Phys.Rev.B,61(2000)1584-1587
120273	Th(Ir,Ru)2	Th1Ir0.8Ru1.2		K	2.53	J.Less-Common Met., 83(1982)L47
